Using device: mps
Loading tokenizer...
Loading data...
Token indices sequence length is longer than the specified maximum sequence length for this model (341094 > 8192). Running this sequence through the model will result in indexing errors
Total tokens: 341094
Initializing model...
Loading weights from HuggingFaceTB/SmolLM2-135M
Starting training for 5000 steps...
step 0: loss 5.8471, time 0.46s
Generated: <|endoftext|>Saissosteus in Santagoricinus sinking Tyrion was discovered in Norway, it began to approach - island of Santcha fish 
step 10: loss 4.6856, time 3.85s
step 20: loss 4.6889, time 3.07s
step 30: loss 3.9427, time 3.08s
step 40: loss 4.2775, time 3.08s
step 50: loss 4.0515, time 3.08s
step 60: loss 4.1897, time 3.08s
step 70: loss 3.7245, time 3.08s
step 80: loss 3.5788, time 3.08s
step 90: loss 3.4986, time 3.11s
step 100: loss 3.2812, time 3.15s
step 110: loss 3.6855, time 3.18s
step 120: loss 3.4930, time 3.20s
step 130: loss 3.3396, time 3.21s
step 140: loss 3.0064, time 3.21s
step 150: loss 3.1963, time 3.16s
step 160: loss 3.1762, time 3.17s
step 170: loss 2.8132, time 3.16s
step 180: loss 3.0477, time 3.15s
step 190: loss 2.9573, time 3.18s
step 200: loss 2.8778, time 3.20s
step 210: loss 3.5046, time 3.20s
step 220: loss 3.5105, time 3.19s
step 230: loss 3.3969, time 3.16s
step 240: loss 2.9094, time 3.16s
step 250: loss 2.7730, time 3.21s
step 260: loss 3.1738, time 3.12s
step 270: loss 2.6998, time 3.12s
step 280: loss 2.7953, time 3.10s
step 290: loss 2.6675, time 3.11s
step 300: loss 2.3494, time 3.10s
step 310: loss 2.7090, time 3.22s
step 320: loss 2.4528, time 3.20s
step 330: loss 2.6844, time 3.19s
step 340: loss 2.4373, time 3.22s
step 350: loss 2.1313, time 3.23s
step 360: loss 2.3052, time 3.35s
step 370: loss 2.0617, time 3.33s
step 380: loss 2.7379, time 3.51s
step 390: loss 2.4980, time 3.45s
step 400: loss 2.3953, time 3.53s
step 410: loss 2.4580, time 3.51s
step 420: loss 2.5693, time 3.56s
step 430: loss 2.7710, time 3.64s
step 440: loss 2.7276, time 3.72s
step 450: loss 2.4136, time 3.71s
step 460: loss 2.9026, time 3.77s
step 470: loss 2.3169, time 3.86s
step 480: loss 2.7991, time 3.99s
step 490: loss 2.2404, time 3.81s
step 500: loss 1.9685, time 4.05s
Generated: <|endoftext|> Nurse? well, 'tis plain he hath done't: look up!  APTISTA: You might have heard him
step 510: loss 2.8856, time 4.60s
step 520: loss 2.2394, time 3.81s
step 530: loss 2.1017, time 4.34s
step 540: loss 2.3226, time 4.48s
step 550: loss 2.2125, time 3.98s
step 560: loss 2.4715, time 4.03s
step 570: loss 2.0294, time 4.27s
step 580: loss 1.4360, time 4.28s
step 590: loss 1.8771, time 4.67s
step 600: loss 2.2213, time 4.54s
step 610: loss 2.2584, time 4.59s
